Hour,Lane 1 Speed (mph),Lane 1 Flow (Veh/Hour),Lane 2 Speed (mph),Lane 2 Flow (Veh/Hour),Lane 3 Speed (mph),Lane 3 Flow (Veh/Hour),Speed (mph),Flow (Veh/Hour),# Lane Points,% Observed,Lane 1 Occ (%),Lane 2 Occ (%),Lane 3 Occ (%),Occupancy (%)
1/5/2022 21:00,72,349,69.9,453,63,274,68.8,1076,36,100,2,2.7,1.8,2.2
1/5/2022 22:00,71.9,305,69.4,387,62.7,252,68.4,944,36,100,1.7,2.4,1.7,1.9
1/5/2022 23:00,71.7,200,69.2,303,62.5,173,68.3,676,36,100,1.2,1.9,1.2,1.4
1/6/2022 0:00,71.8,128,69.5,225,62.5,125,68.3,478,36,100,0.7,1.4,0.9,1
1/6/2022 1:00,71.7,101,69.6,164,62.7,95,68.4,360,36,100,0.6,1,0.6,0.8
1/6/2022 2:00,71.8,75,69.7,161,62.7,84,68.3,320,36,100,0.4,1,0.6,0.7
1/6/2022 3:00,71.9,109,69.7,166,62.7,102,68.4,377,36,100,0.6,1,0.7,0.8
1/6/2022 4:00,71.9,188,69.8,306,62.8,143,68.9,637,36,100,1,1.8,1,1.3
1/6/2022 5:00,71.7,345,69.4,401,62.7,194,68.9,940,36,100,1.9,2.4,1.3,1.9
1/6/2022 6:00,71.9,448,69.1,507,62.4,248,68.8,1203,36,100,2.5,3.1,1.7,2.4
1/6/2022 7:00,71.7,597,69.6,696,62.7,420,68.6,1713,36,100,3.3,4.2,2.9,3.5
1/6/2022 8:00,71,746,68.8,796,62.3,476,68.1,2018,36,100,4.2,4.9,3.3,4.1
1/6/2022 9:00,70.7,711,67.8,798,60.9,464,67.3,1973,36,100,4.1,5,3.3,4.1
1/6/2022 10:00,70,785,67.7,857,61.4,498,67.1,2140,36,100,4.5,5.3,3.5,4.4
1/6/2022 11:00,69.6,945,67.4,939,61,589,66.7,2473,36,100,5.4,5.9,4.1,5.1
1/6/2022 12:00,69.9,1014,67.5,957,61,563,67,2534,36,100,5.8,6,3.9,5.2
1/6/2022 13:00,69.1,1204,67.4,1051,61.3,663,66.7,2918,36,100,7,6.6,4.5,6
1/6/2022 14:00,68,1333,66,1139,61,642,65.8,3114,36,100,7.8,7.3,4.4,6.5
1/6/2022 15:00,68.2,1388,67.9,1172,62.9,667,67,3227,36,100,8.1,7.2,4.4,6.6
1/6/2022 16:00,68.3,1352,67.9,1147,61.9,659,66.8,3158,36,100,7.9,7.1,4.4,6.5
1/6/2022 17:00,66.5,1278,66.5,1039,61.4,584,65.5,2901,36,100,7.7,6.6,4,6.1
1/6/2022 18:00,66.1,1235,65.8,1081,60.6,664,64.8,2980,36,100,7.4,6.9,4.5,6.3
1/6/2022 19:00,70.8,725,69.9,758,62,493,68.3,1976,36,100,4.2,4.6,3.3,4
1/6/2022 20:00,72,554,70.1,695,63.1,419,69,1668,36,100,3.2,4.2,2.7,3.4
1/6/2022 21:00,72,437,69.1,553,62.5,308,68.5,1298,36,100,2.5,3.4,2,2.6
1/6/2022 22:00,72.1,279,69.6,424,62.2,256,68.4,959,36,100,1.6,2.6,1.7,2
1/6/2022 23:00,71.8,170,69.6,335,62.6,178,68.3,683,36,100,1,2,1.2,1.4
1/7/2022 0:00,71.9,139,69.6,233,62.6,133,68.4,505,36,100,0.8,1.4,0.9,1
1/7/2022 1:00,71.9,78,69.5,197,62.5,110,68,385,36,100,0.5,1.2,0.8,0.8
1/7/2022 2:00,71.8,72,69.5,163,62.6,79,68.3,314,36,100,0.4,1,0.6,0.7
1/7/2022 3:00,71.9,74,69.8,191,62.5,102,68.2,367,36,100,0.4,1.2,0.7,0.8
1/7/2022 4:00,72,159,69.6,289,62.7,120,68.8,568,36,100,0.9,1.8,0.8,1.1
1/7/2022 5:00,71.8,294,69.6,421,62.6,165,69,880,36,100,1.7,2.6,1.1,1.8
1/7/2022 6:00,72,428,69.4,528,62.2,261,68.8,1217,36,100,2.4,3.2,1.8,2.5
1/7/2022 7:00,71.4,551,68.8,659,61.3,363,68,1573,36,100,3.1,4,2.5,3.2
1/7/2022 8:00,71.3,650,67.9,763,60.3,420,67.4,1833,36,100,3.6,4.7,2.9,3.7
1/7/2022 9:00,70.9,723,67.8,819,59.4,476,66.9,2018,36,100,4.1,5.1,3.3,4.2
1/7/2022 10:00,70.4,865,66.3,926,59.4,548,66.2,2339,36,100,4.9,5.8,3.8,4.9
1/7/2022 11:00,68.7,1022,66.3,965,59.7,561,65.8,2548,36,100,5.9,6,3.9,5.3
1/7/2022 12:00,68.7,1133,66.3,1026,59.4,611,65.8,2770,36,100,6.5,6.4,4.2,5.7
1/7/2022 13:00,67.5,1215,65.7,1090,58.5,631,64.9,2936,36,100,7.1,6.9,4.4,6.1
1/7/2022 14:00,67,1334,65.7,1124,58.3,664,64.7,3122,36,100,7.9,7.1,4.5,6.5
1/7/2022 15:00,66.3,1299,65.6,1151,58.4,663,64.4,3113,36,100,7.8,7.3,4.5,6.5
1/7/2022 16:00,68,1390,66.8,1125,59.7,650,65.9,3165,36,100,8.1,7,4.3,6.5
1/7/2022 17:00,65.6,1234,64.4,1068,60.1,596,64,2898,36,100,7.5,6.9,4,6.1
1/7/2022 18:00,68.1,1167,66.8,1033,60.4,659,65.8,2859,36,100,7.1,6.6,4.4,6
1/7/2022 19:00,69.7,787,67.4,855,61.1,512,66.7,2154,36,100,4.6,5.4,3.4,4.5
1/7/2022 20:00,70.6,650,68.3,736,61.4,397,67.6,1783,36,100,3.8,4.6,2.6,3.7
1/7/2022 21:00,71.5,535,69.9,647,62,374,68.5,1556,36,100,3.1,3.9,2.4,3.2
1/7/2022 22:00,71.9,316,69.4,488,62,281,68.2,1085,36,100,1.8,3,1.8,2.2
1/7/2022 23:00,71.8,240,69.7,405,62.4,193,68.6,838,36,100,1.4,2.5,1.3,1.7
1/8/2022 0:00,71.9,187,69.5,290,62,163,68.3,640,36,100,1.1,1.8,1.1,1.3
1/8/2022 1:00,71.8,134,69.7,253,62.5,135,68.4,522,36,100,0.8,1.5,0.9,1.1
1/8/2022 2:00,71.9,126,69.8,247,62.6,104,68.8,477,36,100,0.7,1.5,0.7,1
1/8/2022 3:00,72,107,69.9,202,62.6,91,68.8,400,36,100,0.6,1.2,0.6,0.8
1/8/2022 4:00,71.9,87,69.6,210,62.6,70,68.8,367,36,100,0.5,1.3,0.5,0.7
1/8/2022 5:00,71.9,133,69.8,273,62.4,134,68.5,540,36,100,0.7,1.6,0.9,1.1
1/8/2022 6:00,71.8,246,69.7,388,62.1,187,68.6,821,36,100,1.4,2.3,1.2,1.6
1/8/2022 7:00,71.7,369,69.7,533,62.2,301,68.5,1203,36,100,2,3.2,1.9,2.4
1/8/2022 8:00,71.3,555,68.9,706,61.4,375,68,1636,36,100,3.1,4.3,2.5,3.3
1/8/2022 9:00,71.6,743,69.3,828,61.1,488,68.2,2059,36,100,4.1,5,3.2,4.1
1/8/2022 10:00,70.4,901,69.3,1032,61.4,554,68,2487,36,100,5.1,6.2,3.6,5
1/8/2022 11:00,71.5,1037,68.4,1047,61.4,586,68.1,2670,36,100,5.8,6.3,3.8,5.3
1/8/2022 12:00,71.8,1051,68.8,1054,61.4,612,68.3,2717,36,100,5.9,6.3,3.9,5.4
1/8/2022 13:00,71.9,1151,68.4,1137,60.3,646,68,2934,36,100,6.5,6.9,4.2,5.8
1/8/2022 14:00,71.2,1232,68.5,1077,61.2,653,68,2962,36,100,7,6.5,4.2,5.9
1/8/2022 15:00,70.6,1407,68.2,1201,61.2,648,67.8,3256,36,100,8,7.3,4.2,6.5
1/8/2022 16:00,71.1,1365,69.6,1102,62.8,649,68.8,3116,36,100,7.9,6.7,4.1,6.2
1/8/2022 17:00,70.2,1345,68.6,1160,62.3,651,68,3156,36,100,8,7.3,4.2,6.5
1/8/2022 18:00,70.6,1136,66.3,1058,61.4,639,66.9,2833,36,100,6.7,6.6,4.2,5.8
1/8/2022 19:00,72.4,870,67.4,869,62.5,546,68.1,2285,36,100,5,5.3,3.5,4.6
1/8/2022 20:00,72.3,702,69.8,778,63,451,69.1,1931,36,100,4,4.7,2.9,3.9
1/8/2022 21:00,71.6,705,69.6,745,62.5,413,68.8,1863,36,100,4,4.6,2.6,3.7
1/8/2022 22:00,72.8,456,70.2,564,62.7,319,69.3,1339,36,100,2.6,3.4,2,2.7
1/8/2022 23:00,72,334,69.8,449,62.7,230,68.9,1013,36,100,1.9,2.7,1.5,2
1/9/2022 0:00,71.9,267,70.1,357,62.6,177,69.1,801,36,100,1.5,2.2,1.1,1.6
1/9/2022 1:00,72,217,69.8,290,62.7,154,68.9,661,36,100,1.2,1.8,1,1.3
1/9/2022 2:00,72,160,69.8,282,62.7,133,68.8,575,36,100,0.9,1.7,0.8,1.1
1/9/2022 3:00,71.9,99,69.7,236,62.5,63,69.1,398,36,100,0.6,1.4,0.4,0.8
1/9/2022 4:00,72,93,69.8,187,62.7,59,69.1,339,36,100,0.5,1.1,0.4,0.7
1/9/2022 5:00,71.9,87,69.8,203,62.6,80,68.7,370,36,100,0.5,1.2,0.5,0.8
1/9/2022 6:00,71.8,229,70,361,62.8,154,69,744,36,100,1.3,2.1,1,1.5
1/9/2022 7:00,72,260,70.3,459,62.7,224,69,943,36,100,1.4,2.7,1.4,1.8
1/9/2022 8:00,72.2,407,69.8,589,62.4,322,68.8,1318,36,100,2.2,3.5,2.1,2.6
1/9/2022 9:00,71.9,634,69.7,727,62.5,379,68.9,1740,36,100,3.5,4.4,2.4,3.4
1/9/2022 10:00,68.6,895,67,937,61.8,520,66.4,2352,36,100,5.1,5.7,3.4,4.7
1/9/2022 11:00,69.6,922,68.1,954,62.6,511,67.5,2387,36,100,5.2,5.7,3.3,4.7
1/9/2022 12:00,69.9,1042,67.8,987,62.7,606,67.4,2635,36,100,5.8,6,3.9,5.2
1/9/2022 13:00,69.9,1053,68.3,1022,62.5,616,67.6,2691,36,100,5.9,6.1,3.9,5.3
1/9/2022 14:00,69.7,1108,68.3,1098,62.5,664,67.5,2870,36,100,6.2,6.6,4.2,5.7
1/9/2022 15:00,69.3,1205,68.6,1150,62.9,633,67.7,2988,36,100,6.8,6.9,4,5.9
1/9/2022 16:00,67.3,1141,66.5,1013,63,626,66,2780,36,100,6.6,6.2,4,5.6
1/9/2022 17:00,65.4,1258,64.6,1092,61.8,656,64.3,3006,36,100,7.5,6.9,4.3,6.3
1/9/2022 18:00,67.8,842,66.3,886,62.6,454,66.1,2182,36,100,4.9,5.5,2.9,4.4
1/9/2022 19:00,71,714,66.6,743,61.7,444,67.1,1901,36,100,4.2,4.6,2.9,3.9
1/9/2022 20:00,71.8,622,69.3,646,61.8,411,68.4,1679,36,100,3.6,3.9,2.7,3.4
1/9/2022 21:00,72.1,467,70.1,554,62.3,326,68.9,1347,36,100,2.6,3.4,2.1,2.7
1/9/2022 22:00,71.8,361,70.2,451,62.8,224,69.1,1036,36,100,2,2.7,1.4,2.1
1/9/2022 23:00,72,189,69.6,310,62.6,150,68.7,649,36,100,1.1,1.9,1,1.3
1/10/2022 0:00,71.8,117,69.6,251,62.7,112,68.5,480,36,100,0.7,1.5,0.7,1
1/10/2022 1:00,72,90,69.4,195,62.5,91,68.4,376,36,100,0.5,1.2,0.6,0.8
1/10/2022 2:00,71.8,106,69.4,203,62.5,84,68.6,393,36,100,0.6,1.3,0.6,0.8
1/10/2022 3:00,71.9,124,69.4,203,62.5,113,68.3,440,36,100,0.7,1.3,0.8,0.9
1/10/2022 4:00,71.9,206,69.8,318,62.4,136,68.9,660,36,100,1.1,1.9,1,1.3
1/10/2022 5:00,71.7,324,69.4,445,62.5,196,68.8,965,36,100,1.8,2.7,1.3,1.9
1/10/2022 6:00,71.7,442,69.1,600,62.7,262,68.7,1304,36,100,2.5,3.6,1.8,2.6
